f,att_rot,G1,G2,G3,th1,th2,th3,ph1,ph2,,ph3,O1/G1,O2/G2,O3/G3
233.68,157,116.0193611,115.4837253,91.438567,91.2001337,89.52077192,2.407553465,20.23495668,-74.37875455,96.30619473,-16.15362072,-5728.853283,6939.822153,-832.5182335
233.68,158,115.8891812,115.2118448,91.44284227,91.20166141,89.51944658,2.396614439,20.33739092,-74.48725627,96.49812913,-16.05861281,-5747.121196,6973.199355,-833.6396543
233.68,159,115.7615376,114.9440261,91.44770613,91.20316965,89.51812918,2.385847021,20.43897252,-74.59512264,96.68820465,-15.96435573,-5763.828586,7004.376685,-834.6419058
233.68,160,115.6364463,114.6803143,91.45315774,91.20465803,89.51682005,2.375252312,20.53967158,-74.70231586,96.87637208,-15.87089331,-5778.981255,7033.351179,-835.5263075
233.68,161,115.5139218,114.4207514,91.45919653,91.20612633,89.51551968,2.364828109,20.63945953,-74.80879916,97.06258401,-15.77823578,-5792.585526,7060.120695,-836.2945009
233.68,162,115.3939777,114.165376,91.46582288,91.20757418,89.51422844,2.354578382,20.73830885,-74.91453673,97.24679475,-15.68645556,-5804.6481,7084.683873,-836.9475282
233.68,163,115.2766261,113.9142245,91.47303728,91.20900137,89.51294667,2.344501163,20.83619317,-75.01949363,97.42896039,-15.59556733,-5815.176032,7107.040073,-837.4869044
233.68,164,115.1618785,113.6673299,91.48084097,91.21040763,89.51167471,2.334597999,20.93308727,-75.12363608,97.60903871,-15.50562096,-5824.176739,7127.189462,-837.9138126
233.68,165,115.0497449,113.4247229,91.48923539,91.21179269,89.51041288,2.324865769,21.02896716,-75.22693105,97.78698925,-15.41661991,-5831.658058,7145.132863,-838.2299658
233.68,166,114.9402349,113.1864316,91.49822281,91.21315633,89.50916157,2.315306498,21.1238097,-75.32934673,97.96277312,-15.3286171,-5837.62806,7160.871884,-838.43643
233.68,167,114.8333568,112.9524813,91.50780587,91.21449838,89.50792115,2.30591953,21.21759309,-75.43085216,98.13635321,-15.24164105,-5842.095177,7174.4088,-838.5345191
233.68,168,114.7291183,112.7228956,91.51798763,91.21581867,89.50669183,2.296703588,21.31029645,-75.53141731,98.3076939,-15.15571437,-5845.06814,7185.74654,-838.5256415
233.68,169,114.6275263,112.4976954,91.52877175,91.21711706,89.50547398,2.287659281,21.40189992,-75.63101324,98.47676112,-15.07087608,-5846.555946,7194.888772,-838.4109581
233.68,170,114.5285872,112.2768995,91.54016233,91.21839329,89.50426783,2.278786298,21.49238476,-75.72961201,98.6435229,-14.98715836,-5846.567833,7201.839795,-838.1916195
233.68,171,114.4323066,112.060525,91.55216384,91.21964736,89.50307368,2.27008254,21.58173318,-75.82718644,98.80794807,-14.90457371,-5845.113306,7206.604478,-837.869103
233.68,172,114.3386894,111.8485868,91.56478142,91.22087907,89.50189187,2.261549804,21.66992832,-75.92371051,98.97000745,-14.82317513,-5842.202105,7209.188407,-837.4443183
233.68,173,114.2477401,111.6410981,91.57802033,91.22208841,89.50072253,2.253183771,21.75695435,-76.01915907,99.12967322,-14.7429496,-5837.844179,7209.597717,-836.9188038
233.68,174,114.1594629,111.4380704,91.59188662,91.22327526,89.49956592,2.24498656,21.84279632,-76.11350793,99.28691901,-14.66395642,-5832.049664,7207.839162,-836.29345
233.68,175,114.0738612,111.2395133,91.6063866,91.22443947,89.49842238,2.236956903,21.92744018,-76.20673383,99.44172001,-14.58621326,-5824.828915,7203.920069,-835.5694221
233.68,176,113.9909381,111.0454354,91.6215269,91.22558116,89.49729198,2.229092329,22.01087286,-76.29881442,99.59405248,-14.50972643,-5816.192467,7197.848311,-834.7480128
233.68,177,113.9106967,110.8558434,91.63731484,91.22670008,89.49617505,2.221394242,22.09308201,-76.38972832,99.74389448,-14.43454397,-5806.150976,7189.632341,-833.8300836
233.68,178,113.8331393,110.6707427,91.65375773,91.22779637,89.49507173,2.213858568,22.17405622,-76.47945497,99.89122516,-14.36065515,-5794.715304,7179.281127,-832.8170544
233.68,179,113.758268,110.4901376,91.67086365,91.22886989,89.49398222,2.206486901,22.25378485,-76.56797479,100.0360249,-14.28810785,-5781.89645,7166.804163,-831.7097171
233.68,180,113.6860851,110.3140311,91.68864088,91.22992069,89.49290673,2.199278116,22.33225802,-76.655269,100.1782756,-14.21692331,-5767.705525,7152.211459,-830.5090346
233.68,181,113.6165919,110.1424249,91.70709797,91.23094884,89.49184538,2.192230369,22.40946676,-76.74131975,100.3179603,-14.14711115,-5752.153797,7135.513525,-829.2161749
233.68,182,113.5497903,109.9753198,91.72624392,91.23195418,89.49079838,2.185342911,22.48540263,-76.82610998,100.455063,-14.07869404,-5735.252621,7116.721337,-827.8320644
233.68,183,113.4856813,109.8127157,91.74608799,91.23293695,89.48976588,2.178614894,22.5600582,-76.90962352,100.5895693,-14.01169184,-5717.013544,7095.846362,-826.3576272
233.68,184,113.4242663,109.6546114,91.76663971,91.23389695,89.48874797,2.172044232,22.6334264,-76.991845,100.7214657,-13.94611005,-5697.448082,7072.900523,-824.7939721
233.68,185,113.3655464,109.5010049,91.78790899,91.23483445,89.48774489,2.165630991,22.70550105,-77.0727599,100.8507399,-13.88197965,-5676.567962,7047.8962,-823.1418246
233.68,186,113.3095225,109.3518933,91.80990599,91.23574932,89.48675668,2.159374638,22.77627659,-77.15235436,100.9773805,-13.81932303,-5654.384971,7020.846176,-821.4020612
233.68,187,113.2561956,109.2072734,91.83264083,91.23664169,89.48578346,2.15327002,22.84574788,-77.23061541,101.1013773,-13.75810766,-5630.910914,6991.763697,-819.5760328
233.68,188,113.2055662,109.0671404,91.85612431,91.23751163,89.48482542,2.147319647,22.91391089,-77.30753089,101.2227213,-13.69839048,-5606.157832,6960.662442,-817.6641884
233.68,189,113.1576353,108.9314899,91.88036721,91.23835919,89.48388257,2.141522068,22.98076163,-77.38308922,101.3414041,-13.64018116,-5580.137685,6927.55644,-815.6673381
233.68,190,113.1124035,108.8003162,91.9053805,91.23918447,89.48295504,2.135875937,23.04629694,-77.45727969,101.4574183,-13.58349025,-5552.862589,6892.460178,-813.586408
233.68,191,113.0698715,108.6736133,91.93117533,91.23998754,89.48204301,2.130380021,23.11051414,-77.5300922,101.5707579,-13.5283283,-5524.344703,6855.38849,-811.4221575
233.68,192,113.0300399,108.5513746,91.95776286,91.24076852,89.4811464,2.125031022,23.17341108,-77.60151742,101.6814172,-13.47467988,-5494.596256,6816.356629,-809.1757011
233.68,193,112.9929092,108.4335932,91.98515469,91.24152743,89.48026538,2.119830491,23.23498618,-77.67154666,101.7893917,-13.42258852,-5463.629559,6775.380195,-806.847421
233.68,194,112.9584801,108.3202618,92.01336228,91.24226444,89.47940007,2.114776423,23.29523805,-77.7401718,101.8946775,-13.37205319,-5431.456922,6732.475137,-804.4382131
233.68,195,112.9267529,108.2113724,92.04239718,91.24297964,89.47855048,2.109866487,23.35416616,-77.80738558,101.9972716,-13.32306709,-5398.090795,6687.657828,-801.9489801
233.68,196,112.8977283,108.1069168,92.07227121,91.24367309,89.47771668,2.10510233,23.41177019,-77.87318117,102.097172,-13.27567281,-5363.543645,6640.944936,-799.3800283
233.68,197,112.8714068,108.0068866,92.10299594,91.244345,89.4768987,2.100479917,23.46805013,-77.93755239,102.1943771,-13.22984342,-5327.827968,6592.353482,-796.7325152
